"path","size_bytes","sha256","category"
"outputs\figures\discount_response\demand_by_markdown_bin.png","100932","6b0a436effd8fb0f39cda41d31c0ee87000dd9159886b9ffc81050e78c6461d9","figure"
"outputs\figures\discount_response\implied_demand_uplift_by_markdown.png","75031","58ce42c9f397211c1d75f8b20ca129d8913aa2b137f21ec81a433441537e92c5","figure"
"outputs\figures\discount_response\markdown_distribution_support.png","39786","9f4b4a1bac8eff874e46c2abe0b56a932ed328b9381d2008907d49952a181a5e","figure"
"outputs\figures\discount_response\model_implied_markdown_response_curves.png","66267","3d4814813c277f96f5ddbfb3aea51f314d13d61bee445fcb918046cbb573288e","figure"
"outputs\figures\discount_response\model_performance_by_target.png","80122","0f47d83d9aa0eb7d944e0034d4e3b41650802aa124ebc57c552fbb031c357c58","figure"
"outputs\figures\discount_response\observed_vs_recovered_predicted_demand.png","79459","3954d950c09f7d83ed36d2ddcfc3531c1c4684bd1602c1b1762a30e257b53098","figure"
"outputs\figures\discount_response\response_difference_by_promotion_status.png","39608","d12d8a570e4440054b17bcb499b4b4a53cf7ff0818da428bc6d58062e9b4603f","figure"
"outputs\figures\discount_response\response_difference_by_stockout_risk_group.png","45346","77ec5683ee4a6923ac98019c60ad541349139fe3ae1aa5aa9e284f3ad1d62e5a","figure"
"outputs\figures\discount_response\robustness_comparison.png","124080","ee49bbb9a47162e59d521f6371b7371c82dde17fde39a2cf3cf216f6d0538d42","figure"
"outputs\figures\dqn_final_candidate\action_distribution.png","27793","f4965918016abbdc5bc43c61c6ff9646aa0e2f111c97799fcfa35e0c5be5b7cf","figure"
"outputs\figures\dqn_final_candidate\dqn_paired_gain_vs_baseline.png","74882","020d4e97761a18c8fa31514fc780d133cf05797726b1112e071a13eaaafc1b8a","figure"
"outputs\figures\dqn_final_candidate\dqn_seed_stability.png","40707","17c519b3aa1b94bd7781e875104ed53bafebe79665ae2651fa2f297e24939731","figure"
"outputs\figures\dqn_final_candidate\dqn_validation_profit_by_timestep.png","70943","68572ca35111c09c9426af5e10c3cf437d7c80077961dfe619970b331c085eaa","figure"
"outputs\figures\dqn_final_candidate\dqn_vs_ppo_vs_planning.png","74240","f29bf87a078cd2de53cfe1784f91b988e7bdc727bf4deb065efb5bd036354526","figure"
"outputs\figures\dqn_final_candidate\profit_waste_comparison.png","68564","4bc1a3b742bd080076a58484e79f3295bc1fb05e2e17e903dbf142705b165441","figure"
"outputs\figures\dqn_final_candidate\standard_dqn_action_distribution_by_seed.png","51673","085b3e785bfe689aa1ef33b982ec99b24f11e86e70f5eeda7d212f62fad66c49","figure"
"outputs\figures\dqn_final_candidate\standard_dqn_paired_gain_by_selected_seed.png","38311","82dab27660d4bb367a18ffe245d3ff9406c1bf9e88b31e0385feac17295f4bda","figure"
"outputs\figures\dqn_final_candidate\standard_dqn_pooled_confidence_interval.png","28735","01e16b85d60817193c902978f75e8425f2cce1bf6661cf121b41886e78d6e258","figure"
"outputs\figures\dqn_final_candidate\standard_dqn_profit_waste_comparison.png","58568","c59585ba19b7d06723cf581bf391f3f99b507cef39966060c728bc3ab92206c0","figure"
"outputs\figures\dqn_final_candidate\standard_dqn_seed_stability.png","25405","a583b9c012c164a1e2714f6f55cdc13c4f49ce7118d31f1a93f99328c3ec5748","figure"
"outputs\figures\dqn_final_candidate\standard_dqn_validation_profit_by_timestep_all_seeds.png","95640","f52dfad75f08e4e0a361262594f37fbec2181f3f11421b67120a72129e42b21a","figure"
"outputs\figures\dqn_final_candidate\standard_dqn_vs_planning_baseline.png","74380","945563f3218b46024eddac5d39fe12e164e575237fd7f867abab2c23eac9f4b1","figure"
"outputs\figures\dqn_final_candidate\standard_dqn_worst_episode_loss_decomposition.png","52365","fe27331b1b22eb9fd59d7737225b774b431df626c182e4d7cfffbcccf16309b9","figure"
"outputs\figures\dqn_final_candidate\worst_case_episode_differences.png","43520","026d4a77e360066a67251d8ee35d5b3799a6fd1c6d4f90e88eb9795343c93974","figure"
"outputs\figures\dqn_final_statistical_audit\corrected_clustered_confidence_interval.png","31021","e509c468b2d7557265d766ce26dd20b5e5c1c7f07010542135bd84fa8f104c2e","figure"
"outputs\figures\dqn_final_statistical_audit\ensemble_paired_episode_differences.png","34427","1d77ff12563d808be6ef0be207c32cb4e686cf4300cfa11638dbd6bdf2645946","figure"
"outputs\figures\dqn_final_statistical_audit\episode_mean_gain_across_seeds.png","53927","4102aa5667f92fdfdfcdbe1c7c563a56ba87025152ccb114f620a856fb2d6962","figure"
"outputs\figures\dqn_final_statistical_audit\individual_seeds_vs_equal_weight_ensemble.png","53403","fe73868803b2f36479618db0bc25cea6830a5ef0ec53d01c0a3441fc4e68140a","figure"
"outputs\figures\dqn_final_statistical_audit\profit_waste_comparison.png","45286","02118e9023a8379690111aab6f144cd297cd6b96ebbfcffbdff7c8ba52ec83da","figure"
"outputs\figures\dqn_final_statistical_audit\tail_loss_comparison.png","31214","d4d3b931791645cdd5c8416e1633ca83acd48810442fb7dbd10ec0099ae2a209","figure"
"outputs\figures\final_candidate_selection\action_distribution_by_risk_level.png","25762","8dcb6e8333886e0bd3374a80950ad5f74514afef62ef834691e7f917b55969bb","figure"
"outputs\figures\final_candidate_selection\candidate_confidence_intervals.png","31026","3ee115fb7f4c415adf49c93d44f45d7bf7fe79067dd80881c88641c974f253d0","figure"
"outputs\figures\final_candidate_selection\candidate_profit_gain_versus_baseline.png","37919","da792e761028103042ea24ad7bd83fdcc8fd6ec1caf5836bffb1b447ea2c7d14","figure"
"outputs\figures\final_candidate_selection\planning_gain_captured.png","40621","c94f2d29fc4e4c37a8ca86ebae7f1e394b26deb27fdcc1c0245b3486f6248be6","figure"
"outputs\figures\final_candidate_selection\profit_waste_comparison.png","40859","417230dad4863b5cad0958ba59e3da301c17e2701e701a0a46e36326e7012bba","figure"
"outputs\figures\final_candidate_selection\seed_stability.png","34426","26d83109169b1c4da2a5226258478e63d49562ed724a2ad9f775812f8538f463","figure"
"outputs\figures\final_candidate_selection\win_tie_loss_shares.png","23586","bdbf2e530d89928c28d27f27f5fa96e653cd8b849b49f1d78483e82abb3594e6","figure"
"outputs\figures\final_candidate_selection\worst_case_episode_losses.png","41751","78a74cc1b4341d8eeec5447925421cfb1b10685bfddfeaa9222351bfef21686d","figure"
"outputs\figures\final_dqn_ensemble_test\final_test_ensemble_vs_baseline_profit.png","22527","0772eaaf16d8e1780e8997c9509ae010e5a6c12363161557e174418bba6343bb","figure"
"outputs\figures\final_dqn_ensemble_test\paired_test_episode_profit_differences.png","34317","c857afefe22bbb6a974a6c1060544191656f7a9801adcbf301854eefb22d400a","figure"
"outputs\figures\final_dqn_ensemble_test\test_action_distribution_by_risk_level.png","24791","d7b3427072d19509ebc6ff323a87729058f49a5ca1418153ce3d1affb8e27ecb","figure"
"outputs\figures\final_dqn_ensemble_test\test_bootstrap_confidence_interval.png","24034","46eca9d13a0b2df1673fb47fcabf876208690161d1d1aa2b1ee4dc7173776fc8","figure"
"outputs\figures\final_dqn_ensemble_test\test_profit_waste_comparison.png","42665","03b734d8c9dfe66323f219e8b649f104e3924f1a87f9ade376f84cc52b3de7e9","figure"
"outputs\figures\final_dqn_ensemble_test\test_win_tie_loss_shares.png","20944","680ac7cac71c5b9ba2eaae3ee330e63b9897ef89709d173dcb82e4c2be093db1","figure"
"outputs\figures\final_dqn_ensemble_test\validation_vs_test_comparison.png","32667","7e64224e99939e2ac7a3acbf88284aa9af79d949887a23052ac5f6e3b583c081","figure"
"outputs\figures\final_dqn_ensemble_test\worst_test_episode_diagnostics.png","28720","61dd34f0a6cfe836235b3c6ba50627bf96723ef02d809e19fc16b3a92f7c6577","figure"
"outputs\figures\final_model_decision_task\candidate_population_state_counts.png","36461","58eaff29c350d5b70b17c6d4dc596ddc35c4065ef8832843ff069db5e36e73de","figure"
"outputs\figures\final_model_decision_task\dynamic_vs_locked_baseline_validation.png","83379","041a30904489541f4724d170e7af8ad2b5877dc8b86ec65d19dcdbf81170838e","figure"
"outputs\figures\final_model_decision_task\locked_baseline_selection.png","54852","a8e8f634f9fd9a94dae590f8b5528a2120ee385b07e9091ab768eaa49ce42270","figure"
"outputs\figures\final_report\figure_empirical_profit_waste_tradeoff.png","105036","311ce2c01abbdc82bcbfed1f7c285d361dea08741cc54594647c1584a65df4ec","figure"
"outputs\figures\final_report\figure_financial_markdown_opportunity_map.png","90079","98ef6abe50be62c906aea700ba6e2e6eea223c3a99973f89a9ef459374e52bd3","figure"
"outputs\figures\final_report\figure_observed_action_distribution_over_training.png","68403","ad087969a770a2ecb780b5e94420e017254527dbb723f254bdcf7db58e5a7340","figure"
"outputs\figures\final_report\figure_observed_vs_recovered_selected_policy.png","71465","edcb15f573bd2eaf21b3307bc9252737a6fef292d0577877aab8d2409d9c62ba","figure"
"outputs\figures\final_report\figure_oracle_action_values_by_state.png","53252","9a1e84aa7bf7ce346a07c152ae69f74649fcf5c4f4fcc587f6b0c3fb157e9259","figure"
"outputs\figures\final_report\figure_policy_entropy_and_collapse.png","102866","25425124aea5f90752e92ea1134f9d0f6a7d1041462f60f2a730ad590b6b89dc","figure"
"outputs\figures\final_report\figure_ppo_validation_return_over_training.png","107969","e7d073c0426d7e17124a57914b7da66978e29551a20629ff5b1fc9a237720672","figure"
"outputs\figures\final_report\figure_ppo_vs_baselines_normalized_profit.png","133552","6dd65adfce10ec2ec4b5948fc3229b9f181d6079a4c2ce8dd1b66725d7dfde99","figure"
"outputs\figures\final_report\figure_ppo_vs_oracle_error_decomposition.png","115187","7e55f71b268a81fc3910f5deefc5fa4e90f9d35d35b2066398b8161a4ad3b4c6","figure"
"outputs\figures\final_report\figure_recovered_action_distribution_over_training.png","69784","c9d1e0352641ed2407a56e58fa40f20c7b6593722ccec47386ecec5bb3c4814b","figure"
"outputs\figures\final_report\figure_waste_reduction_efficiency.png","97619","f01cc5e97ed6f53cbbbceaac3dde5498fbfcee56a904d2400f85cca89924c19d","figure"
"outputs\figures\final_report\appendix_training_diagnostics\appendix_approx_kl.png","71843","bdb42d0125f13cf1f849bdebe30219b30ccb98e54b50e340f817fd9702ff96a1","figure"
"outputs\figures\final_report\appendix_training_diagnostics\appendix_clip_fraction.png","69770","663b1cd6f998dee027774090970782b67f8376ff5817e2fdec6c2ae80e385b1c","figure"
"outputs\figures\final_report\appendix_training_diagnostics\appendix_entropy_loss.png","51104","f96f1520219ee5ca7889bb7f69f905daf24ed962ab8bcad8247e34f6fe3f7296","figure"
"outputs\figures\final_report\appendix_training_diagnostics\appendix_explained_variance.png","64583","9ecb9355fbeeff44570ac68581cfa8d70e1a68de1e04b7ca78b422ad2c97e063","figure"
"outputs\figures\final_report\appendix_training_diagnostics\appendix_policy_gradient_loss.png","62531","3e93016367b43ca5f0a980f0b65fdab9871ec190e382ceaf2f1cbb9de9ddf8fe","figure"
"outputs\figures\final_report\appendix_training_diagnostics\appendix_value_loss.png","62561","e9b61306d9a15f4f3f18a0b9dc69f1c46c9bdcdb6f39ab5245094ffb92d2612d","figure"
"outputs\figures\financial_markdown_opportunity_audit\multistep_action_value_vs_markdown.png","55357","aed8b4e75b148a025c356dfc63399377c8ffc4d8f3a9e631b7a6224d5714347e","figure"
"outputs\figures\financial_markdown_opportunity_audit\optimal_action_by_inventory_and_expiry.png","53202","533ed664339d79a3d79d2cf78e6b45b91b7daeca5a64cbca66a2cca822c990d0","figure"
"outputs\figures\financial_markdown_opportunity_audit\positive_markdown_gain_over_zero.png","35450","01d9c7e2b19fe68716ed9e93c02046113ac7882a4c644ab8794a3cedfe044738","figure"
"outputs\figures\financial_markdown_opportunity_audit\ppo_vs_oracle_action_comparison.png","44952","fcc0485ce2f0eb06181eae8bf804183002eb831f4f7159422040e20b9cd82a1c","figure"
"outputs\figures\financial_markdown_opportunity_audit\share_states_preferring_each_action.png","32468","bbcc0d3b3c2b89c7444b3d17ce694b54718c780803cb80ec301afb02aecba1a7","figure"
"outputs\figures\financial_markdown_opportunity_audit\state_map_financially_justified_markdown.png","48389","96b3a0cb6255999a5cef8ba2fa91a73b17558aeb3abffba9e9f3f9cc3e36db51","figure"
"outputs\figures\freshretail_modeling_subset\example_complete_97_day_series.png","200088","285b94948370efe1485568ad4f9407b258f444fac302a2fe7b390ec119889f0c","figure"
"outputs\figures\freshretail_modeling_subset\markdown_distribution_comparison.png","41925","054d07b5cc0139e8a92e3b693fa0f0f231d622030335567b4d45b559dfa18685","figure"
"outputs\figures\freshretail_modeling_subset\promotion_rate_comparison.png","33175","4e65fb40c75b71e25980c6a84d2cbef682d29b38ae618413df16db040a1af0ed","figure"
"outputs\figures\freshretail_modeling_subset\sales_distribution_comparison.png","38184","8fecf05c5c2dced7d72d89ef50ec849d5c565ef84089cff5d3eac94779539602","figure"
"outputs\figures\freshretail_modeling_subset\selected_series_stockout_vs_promotion.png","194942","5bea63f4cda0987ea15455bd56c2381dbce87d884457a0619ac308e0ebb9823e","figure"
"outputs\figures\freshretail_modeling_subset\stockout_rate_comparison.png","32178","af0baa64542dd859097f6d535553cb622f78af06d15a79c8b898ec4f1d4940c3","figure"
"outputs\figures\freshretail_modeling_subset\train_validation_test_date_split.png","37262","f69ab90b54d82283e4fe8a722f79a883a8ad2c1f09ff58ab513647873ffc652a","figure"
"outputs\figures\freshretail_processing\discount_distribution.png","28063","05ee51e8cc3b4b3e8dfde82165fb57db86f14ec04a82e6e17da164945e8f1120","figure"
"outputs\figures\freshretail_processing\example_promotion_stockout_timeseries.png","208786","b19e5384cfed35d67dc601f0d7f033e97a3af68863efdb5d8d91532788c82d5a","figure"
"outputs\figures\freshretail_processing\example_sales_inventory_timeseries.png","208786","b19e5384cfed35d67dc601f0d7f033e97a3af68863efdb5d8d91532788c82d5a","figure"
"outputs\figures\freshretail_processing\promotion_rate_by_category.png","38894","2d5dbc96fd07b1d0f85febe05c48b9654f2cfdc2d5a2cce444dbf29f61ff2217","figure"
"outputs\figures\freshretail_processing\sequence_length_distribution.png","36707","282b56084862da0d836e8f50343493a88fef47ede84f019d42dc16192a5180ca","figure"
"outputs\figures\freshretail_processing\stockout_rate_distribution_by_series.png","32025","42ca5895e03d34fc2d71508061d55b748c2a9bc2b433d5c40e2894af7bd4ccfa","figure"
"outputs\figures\freshretail_processing\subset_category_composition.png","38747","037581343aca83954f0f2a8862be5d33a90b9642c991544cc706b24ab8da07f3","figure"
"outputs\figures\latent_demand_recovery\aggregate_observed_vs_recovered_over_time.png","177081","c626fabfb1be750e1854ab5effb7f426721dbe9719f4e60ac6f0c146b426958c","figure"
"outputs\figures\latent_demand_recovery\artificial_censoring_predicted_vs_true.png","81153","70ad212cae53bc97772fc039b15c0ca303cf2671aa71ec4bf54d306a405d393f","figure"
"outputs\figures\latent_demand_recovery\example_store_product_recovered_series.png","181813","a32663c1136445bc441492135360ba99d5b0ef2d8b0cd182f0fff72a933e81a7","figure"
"outputs\figures\latent_demand_recovery\model_performance_by_censoring_severity.png","101550","e0238778987049b94a2bb01076928116a926caa57c15abc231eb4d5569fa796e","figure"
"outputs\figures\latent_demand_recovery\observed_vs_recovered_distribution.png","37032","d79bc6784666c547b20b40fb195fc0790f6923dbe73665f4c311c15295c81dd7","figure"
"outputs\figures\latent_demand_recovery\recovery_amount_by_promotion_status.png","30048","fac4e1f386c51e4a41763d09c84dbf11b29f828461b48df3c121de00a2ddc7cc","figure"
"outputs\figures\latent_demand_recovery\recovery_amount_by_stockout_status.png","31632","33d9718b6d24f58992592d453e934b4ce5d6d9decda7ccd80f5bc92417b3e1fc","figure"
"outputs\figures\latent_demand_recovery\recovery_error_by_model.png","59439","74f649f1d63b98e788e6986c2b1a30540473ce6289e069e4a79b638f6cee1f8d","figure"
"outputs\figures\latent_demand_recovery\recovery_ratio_distribution.png","39742","e4f4f53b518d4c19ef44f1a698f288960ea32bf6ffe757c66e1ed2d757a2173c","figure"
"outputs\figures\limited_horizon_planning\episode_level_paired_profit_differences.png","41391","9f4f6227addbc99baf38e1bb5f3746c2d736c50bb1168b3525a84939053f4805","figure"
"outputs\figures\limited_horizon_planning\planning_action_distribution_by_risk_level.png","31480","e0cce9771a1a7879191c78fce8fb8d51e292b6d1f21fb59c3a343d8c00d12aa2","figure"
"outputs\figures\limited_horizon_planning\planning_ppo_baseline_comparison.png","40862","cc8e3fb236c1d0cdf0e214845cc966fb2c0bdf3f88e2247a9360cdf6687401b4","figure"
"outputs\figures\limited_horizon_planning\planning_vs_baseline_by_scenario.png","35708","c49a03b4173c8f3a7f4ec1572fc5f325131fbcdb3915b20c21a5f319818a3192","figure"
"outputs\figures\limited_horizon_planning\planning_vs_locked_baseline_paired_profit.png","56097","1b1ae79392e12e7b4caace7cb7f084b4a357b66d561106ad8397322bdc76c0f7","figure"
"outputs\figures\limited_horizon_planning\profit_gain_confidence_interval.png","26434","f05503378c6a4fe3ecd2fae22771e58c480d2c3e767fa016aaa0c19a006bcfef","figure"
"outputs\figures\limited_horizon_planning\waste_and_profit_comparison.png","41220","201628089fc4e94645f271c797f1092efe87ba5722d3a31d5e11aada7dbd5178","figure"
"outputs\figures\perishability_scenarios\accounting_identity_validation_summary.png","72312","ff7167e6ab329fd1cf0eb302eb2280452316ff6329642e778f1d9f04902f9be5","figure"
"outputs\figures\perishability_scenarios\economic_scenario_comparison.png","73357","17dfbd9a020cd6b39a355a179fe32f947d6249bd8eaf7801b48e1adc1f6e5a7a","figure"
"outputs\figures\perishability_scenarios\fixed_policy_profit_comparison.png","58709","701cdf1f9ed0f5ad0aa482a9dd47fead0c9ffe89c91c54340a6d3b8c490073f6","figure"
"outputs\figures\perishability_scenarios\fixed_policy_waste_comparison.png","66187","7d15bed2a6666de82d2ca4da538007e3eb135a5c2133592f6a207e0e262fac2c","figure"
"outputs\figures\perishability_scenarios\inventory_age_profile_examples.png","83197","ee7e19a64ac63496f617aa1cff12be6596d970478f702f71fe6719973e717f39","figure"
"outputs\figures\perishability_scenarios\observed_vs_recovered_scenario_comparison.png","114680","a87dabdaba63dcf22e11c9b7e34caa24a3aa0077f1522faf7c7e8b1d6edf498d","figure"
"outputs\figures\perishability_scenarios\profit_versus_waste_scatter.png","76305","abe83b628c644e1f2cf3587b441141200091384148cba3a14ca83a12ad94f73e","figure"
"outputs\figures\perishability_scenarios\sensitivity_by_inventory_coverage.png","54094","1a8b5fb88a53c2386b45c3ba8dde2b79b374cafa7217ec673fcab77409506dbd","figure"
"outputs\figures\perishability_scenarios\sensitivity_by_shelf_life.png","47700","169878dfc606e5c95cb98928bf843b078f1a3e088de692b4d20bf18bce62cc22","figure"
"outputs\figures\perishability_scenarios\shelf_life_scenario_overview.png","58774","c906e21ff4a71a1b7332d7c609fb8967ec2277f1824531e2b1191200d63591ee","figure"
"outputs\figures\planning_distillation\action_distribution_by_risk_state.png","29490","5692a5902d9c74d53f5b3a45afdd3780e531dd48856dd6f6d562e29c47b7db10","figure"
"outputs\figures\planning_distillation\distilled_candidates_vs_baseline_profit.png","47785","02fcea3baff2013242a1bf6d2fb889c0ba061339ae8eff8b946484a45786cada","figure"
"outputs\figures\planning_distillation\paired_episode_profit_differences_limited_horizon_planning_policy.png","36829","9a4a127144906c43247af378e7dba70c4112933bdd746b7a42272f978f23efc7","figure"
"outputs\figures\planning_distillation\paired_episode_profit_differences_planning_distilled_policy.png","36901","8a00282c2b707c862bef10657df0a4122a672932888fc2ca2bff6a325a4d6dd5","figure"
"outputs\figures\planning_distillation\planning_gain_captured.png","32239","7c2fbc35f94122b7995494a1c563df546964f6cd0e4b06cefa6696df65127d8b","figure"
