target,scope,scope_value,n,mean,median,p25,p75
observed,product_id,296,5,7.079545043044075,4.074743969665429,2.86676913095898,6.337473702073648
observed,product_id,300,5,5.312262130238841,2.4978412163431547,0.08626868797958488,14.885296621224708
observed,product_id,316,5,7.894298351507902,1.819774201663749,-1.8910859171569983,16.44453788200697
observed,product_id,320,5,21.445965300107183,21.2150089514688,-0.2685916506344421,33.01277019094275
observed,product_id,345,5,18.17997478042665,4.174475631142194,0.9953391289105218,27.608489516274467
observed,product_id,351,5,11.264557899092221,13.729606866252535,6.257626989685305,18.042900838798644
observed,product_id,37,5,13.713103665145464,10.67280122527423,3.977165157061325,20.84947184941326
observed,product_id,381,5,13.347799067507726,15.902228348801417,5.847214968013615,19.716075660075163
observed,product_id,4,15,15.406259980534701,9.494700472743455,2.6537111406064637,21.23890008946456
observed,product_id,41,10,17.56542448064017,15.453937742739953,1.822609286374888,28.562030135856237
observed,product_id,411,5,12.925384288586192,19.363846482646593,1.8061740632374867,19.77726028308444
observed,product_id,425,5,31.611311262038292,38.56445537846099,2.9383164531856076,56.26650394313287
observed,product_id,426,5,18.861861349110274,21.460449661283423,0.5733538684427941,28.646595462746347
observed,product_id,467,5,8.644654296080862,1.860763321707526,1.5238411737845232,10.624606698824302
observed,product_id,473,5,28.43061084291502,19.587303538186877,9.699236414401868,42.07936123669942
observed,product_id,481,5,8.23156341869425,3.6153152398829,3.4173340253250473,16.975808818075674
observed,product_id,489,10,21.547161077761423,20.992684025281676,1.514475489645306,34.50169647752939
observed,product_id,496,5,17.4826513910528,17.939315231767328,11.086314184058654,26.307182233547547
observed,product_id,500,10,20.372565877228187,15.14325049143418,4.086653290493809,46.16708193690125
observed,product_id,54,5,22.38999856557392,13.344409987736894,4.187915911693274,38.10666398289647
observed,product_id,540,5,13.778317208719717,16.32533854189471,2.108331852582323,18.645437659628293
observed,product_id,547,5,34.77790994882903,29.74425623236195,11.343181433867011,47.323155525818976
observed,product_id,548,10,15.018277419735984,11.936670911559702,0.8264978643726106,15.514419792079593
observed,product_id,569,10,15.225025511103377,7.656569173504281,-0.04395568633100977,28.92434210054571
observed,product_id,580,5,5.309247331994227,3.3463006356740275,2.0488434552564883,9.000378855738855
observed,product_id,591,5,30.081045591258395,20.423003828429767,10.833897620671372,51.199210141010056
observed,product_id,596,10,16.989278650506332,13.183301021367157,7.712889296806164,23.543637438650656
observed,product_id,6,10,9.452260517880797,5.664209365546025,0.7484425241471582,17.642859034099235
observed,product_id,608,5,24.005761161005864,20.05145318443147,8.008298258231639,39.4732310304573
observed,product_id,631,10,16.611282134568278,16.51219614917261,3.7671325623211795,23.096126961277854
observed,product_id,634,5,9.87783060199679,4.070466425933451,-0.8338255716361709,20.74368749522621
observed,product_id,644,15,22.184611907283017,11.112954946252884,2.2614600187619742,39.60230327889636
observed,product_id,666,5,14.326803803345523,15.039734933500037,-0.30654022566629635,24.034776442822547
observed,product_id,677,5,24.61185742318746,16.91102393583728,3.620576648452678,21.384119921675637
observed,product_id,686,10,16.830165950515358,9.797702685191869,1.0861752312367856,23.787651438818937
observed,product_id,691,5,3.436799240161279,2.9864785046061386,2.75464342693601,3.657508655473184
observed,product_id,71,5,17.601766242050417,13.366228520031823,9.865411103959065,28.526652495906504
observed,product_id,715,10,22.270429776081308,17.469078060990405,2.9903962743702435,40.34098815355457
observed,product_id,717,15,12.955335378756109,15.171213105036689,1.3067310830122358,18.467255550089888
observed,product_id,719,10,23.63112912256171,21.397455516208154,3.425734639767042,39.44982176820332
observed,product_id,729,10,9.555017488767664,3.955893350523732,2.53770066127057,16.501925299359275
observed,product_id,740,10,10.649310273040884,10.656581516282774,-1.1431821607323978,17.311238769226
observed,product_id,749,5,7.565850091415813,9.008363049984494,-0.7339120744182082,13.770892230027028
observed,product_id,756,5,7.01782526266404,2.145988051847558,2.0274333436465235,16.274102410612336
observed,product_id,758,5,11.597618569361913,10.74341792881448,2.9387792808357243,13.306381970750447
observed,product_id,76,5,17.89218697828045,7.211419342224845,1.5556685075488024,19.28672262843949
observed,product_id,764,5,8.518968765509111,5.0716326791704125,-0.6668208038863587,17.01529538279099
observed,product_id,765,5,30.209966159557133,33.50067956146879,7.7274370497807165,43.99864810525776
observed,product_id,768,10,64.94116805934873,21.3728593561058,5.067062466453882,41.7544598340097
observed,product_id,769,5,8.428604800775616,1.7600892174149951,-0.09932287920568775,18.66208195084318
observed,product_id,772,5,10.1167821954429,7.636800039411364,1.4739257351568558,14.74490223193028
observed,product_id,779,5,8.469601203639003,8.447667651122773,1.3772373548432748,11.325897111174754
observed,product_id,783,5,16.573159500130696,14.884753577499588,10.0131000945908,18.573129938549783
observed,product_id,793,20,11.44549441180538,10.219283948440552,0.3028995380759125,22.487338757182933
observed,product_id,834,5,1.9793133054744902,1.4275096169117818,1.296440443348246,2.28534130020499
observed,product_id,843,5,12.167707398880648,6.727016822702138,-0.20916133545278992,21.592379603360932
observed,product_id,88,5,15.537645973805889,14.740362776262053,2.5637914386210214,26.913152853621813
observed,product_id,90,5,15.227503483290874,9.459341614947883,6.076760183067664,23.22857226042012
observed,product_id,92,10,14.147554002389384,11.57444850357756,3.875181831763542,25.069507778067024
observed,product_id,93,10,13.969489043156008,10.021802245217515,-1.201804435535558,24.300970990957932
recovered,product_id,102,5,3.7227590797459036,3.914071511255268,2.655107824640046,3.956670650901284
recovered,product_id,104,15,1.9866172074630348,2.1597272278819357,1.441976780880605,3.2823770821090674
recovered,product_id,108,10,19.33060903742127,15.211021801627954,10.417886482308974,31.28581446126221
recovered,product_id,109,5,17.461528787921345,11.344177097538676,2.2491220322331977,23.37192563774826
recovered,product_id,11,25,9.064428774495132,4.8109178524001095,1.8592039535545002,11.165459143525513
recovered,product_id,119,5,4.508949087496252,4.60614434527411,2.7940633121079643,5.5322379932031485
recovered,product_id,127,10,7.242076052510209,5.2992113517641215,2.16555979908275,12.658273103631096
recovered,product_id,138,5,13.085027284897595,9.042921393388914,7.295134173510243,18.49603210588744
recovered,product_id,145,5,10.731756609065524,7.082108597026737,2.717041686517385,14.296329720703675
recovered,product_id,146,10,13.922169922362915,10.427230559920165,8.216376721905593,18.36074338857591
recovered,product_id,18,5,20.660593677604872,17.74811097278064,16.32369051400233,24.996221326837684
recovered,product_id,19,10,19.32490813197206,2.0158573667276247,1.1363267268316102,27.728198353760604
recovered,product_id,190,5,12.603776013281907,7.121205452290848,4.70773296103526,10.968941556309186
recovered,product_id,212,5,8.958232186149464,7.592394890535825,3.9840850747017376,8.594886126798619
recovered,product_id,217,5,19.73833565539424,16.248070599006347,13.356744677727628,23.77676663024733
recovered,product_id,223,15,9.155397509204453,5.387967604016897,1.534003239209614,15.60532091266996
recovered,product_id,240,5,13.601051233797829,7.041728733540875,1.4243384087910373,14.578711709507042
recovered,product_id,250,5,25.053557981236416,19.95421262738035,9.124075212705064,25.402346914487417
recovered,product_id,253,5,7.922117716095039,0.5102122040461454,-0.002723149804295666,17.408232335360818
recovered,product_id,259,10,9.329635016578777,2.9697814514758063,0.08940767787191106,15.579594795562958
recovered,product_id,295,10,9.35102022378353,5.252296979132565,2.3700134646561954,6.691948201213917
recovered,product_id,296,5,7.541917811046024,5.158903433198647,2.763005753528436,6.904696065725393
recovered,product_id,300,5,5.652558540623951,1.1952206446640634,-0.06958257133140576,2.0914038272301654
recovered,product_id,316,5,8.126111751175397,1.7642167384531953,1.3776390434116603,5.005513649095494
recovered,product_id,320,5,10.820009743267448,7.6851986174425235,2.7136792390637154,14.695626529464082
recovered,product_id,345,5,16.21841146848207,13.898361934508818,10.839005691767012,23.11787075240608
recovered,product_id,351,5,7.878283859283664,7.433658413728894,1.3237344962019337,13.334438995956983
recovered,product_id,37,5,7.31016818905731,6.447589405442857,2.457128993098756,11.619471963644257
recovered,product_id,381,5,10.03275552982132,8.052454148692469,2.887639545283016,12.347763499058084
recovered,product_id,4,15,9.13575312220596,6.588486339320343,4.1467616681167385,9.647151556270407
recovered,product_id,41,10,8.431985931112916,5.096786516623619,3.296911082492677,8.176751407343652
recovered,product_id,411,5,9.59269325786348,0.9236229978838661,0.6403468264292389,15.312234513676959
recovered,product_id,425,5,12.327441287632519,10.41703637907454,5.580949175072303,14.097317409519098
recovered,product_id,426,5,8.665923313702953,7.329123948743588,2.3976710831458137,8.514941008129531
recovered,product_id,467,5,3.7319238979196974,1.126509715283319,1.0969663750258543,6.99218076054553
recovered,product_id,473,5,20.475169823367697,18.827730322935345,18.537648072089485,25.248271852349664
recovered,product_id,481,5,6.906708754855226,5.550639037443928,2.3822610507947317,8.289531753968316
recovered,product_id,489,10,10.965519518856308,8.479543502230147,3.649672270804327,16.463337165663
recovered,product_id,496,5,17.556798381326,14.320076175110223,8.07279804931811,18.90552531230871
recovered,product_id,500,10,11.344769203706294,8.023876052195135,3.69371210316406,17.202043904415614
recovered,product_id,54,5,21.17231078365664,17.374716042187327,15.815466771191232,21.386560155090926
recovered,product_id,540,5,9.74596825869222,10.559510240287828,0.1596208229103224,12.03829443445339
recovered,product_id,547,5,20.83039192562486,16.679921054547098,15.777347592427793,23.56433599417476
recovered,product_id,548,10,10.07762318265842,7.392372687027793,1.6844459480324758,9.468943911592945
recovered,product_id,569,10,7.717318346495432,8.848121693204124,2.6280728812798415,10.990782963538017
recovered,product_id,580,5,4.720951544467388,-1.0062275652097163,-1.5815766490411058,2.6599282798644537
recovered,product_id,591,5,19.394641046896062,21.52531506741484,15.037326382955651,22.73525035337734
recovered,product_id,596,10,12.305429873755822,10.54153495932052,3.1304661221708,18.297826625116382
recovered,product_id,6,10,3.0002435513122316,0.8257536124069987,-0.09295669453782684,3.3717645825057323
recovered,product_id,608,5,22.912326941114085,14.770379661224853,8.485976195391533,35.352934492353285
recovered,product_id,631,10,17.786960951259108,7.61379307172877,0.06193307219564398,16.60434353202457
recovered,product_id,634,5,6.22511837201896,5.181962728570278,1.0813782358325863,7.9935710106141755
recovered,product_id,644,15,9.097508812119479,4.30791284340124,0.48836327435943794,10.323836735293035
recovered,product_id,666,5,16.011846417169796,21.790034594670324,2.0177872785867694,26.827910635406838
recovered,product_id,677,5,12.730585671493186,7.957831308765817,7.363497946336817,11.87145085466661
recovered,product_id,686,10,7.487205855018675,1.949400467855844,1.2449972080273266,4.982221605845705
recovered,product_id,691,5,1.5643957028455135,0.5246700322118379,-0.5972746682602282,2.041179889988065
recovered,product_id,71,5,13.934366262979756,14.353718898348955,7.469460763359239,24.515492130873675
recovered,product_id,715,10,13.02937135222189,10.306660523292134,4.159430773746142,15.426346081434872
recovered,product_id,717,15,10.79396717964523,6.03171148236421,3.036526666021444,11.733301237960529
recovered,product_id,719,10,18.498715648751237,17.31526589102188,12.245937214836433,19.758225701808936
recovered,product_id,729,10,11.16308294149432,2.563440966636433,0.5396064250220045,19.755993149166194
recovered,product_id,740,10,8.503658405090198,1.9074807438849264,0.26153574592784334,15.233982707850215
recovered,product_id,749,5,10.112538345543134,3.1455876820304596,1.1783010624059067,21.24746952487495
recovered,product_id,756,5,6.556969772529209,1.2483320734088645,-0.47920074142924207,5.174603231339425
recovered,product_id,758,5,5.13464792832023,2.8227124059138298,-0.6049513786759775,3.952731524514209
recovered,product_id,76,5,5.101303144196327,2.2592825420096663,1.3421574396633498,5.320587728126247
recovered,product_id,764,5,12.549563499830965,5.174203178090631,4.055256504625527,14.005930519559673
recovered,product_id,765,5,17.547287904220543,11.098035668531026,10.05057289129394,22.07801268460084
recovered,product_id,768,10,195256.20745838762,14.729726080304694,2.7152714079808904,114.00502985996317
recovered,product_id,769,5,6.1260763021228595,1.7758199236095566,0.3016417626585888,15.804670893865325
recovered,product_id,772,5,7.545450902880279,4.341238182145446,0.7950316318786843,6.492010844382292
recovered,product_id,779,5,13.594676833676289,8.24256340241809,2.7434918207919217,11.495248564268623
recovered,product_id,783,5,5.527606755521978,2.670144758145465,2.573895577399355,3.3088508662110883
recovered,product_id,793,20,7.520114356451738,6.26599626073201,1.4040690701212726,9.386130268232414
recovered,product_id,834,5,-0.9744586410457501,-1.345840158324629,-1.5633984594680799,0.15327005279504036
recovered,product_id,843,5,5.493425709685517,4.80346829460896,0.09373365632614483,9.793700936578098
recovered,product_id,88,5,7.803969221113446,8.479570348994294,-0.18646399370467748,10.47925365340161
recovered,product_id,90,5,3.9260225894985132,0.14447411934104262,-1.0143563719018367,6.733892119052687
recovered,product_id,92,10,30.155907854482155,17.203320988144146,5.07382499030396,51.32232196859968
recovered,product_id,93,10,12.681213309823207,8.618276886290822,2.4468782399133033,12.884105128074587
observed,stockout_risk_group,high,135,17.26828813243794,12.857937897761262,1.450539264313899,27.45948498564854
observed,stockout_risk_group,low,60,12.797973716264268,9.22986023534337,1.3458123273704996,21.28744496051995
observed,stockout_risk_group,medium,405,16.14795157824586,9.448843593513878,1.2274046851320497,24.034776442822547
recovered,stockout_risk_group,high,135,10.794615915706185,6.99218076054553,2.0082284788162763,15.793036806473605
recovered,stockout_risk_group,low,60,13.36259474023453,4.037148494044018,1.0048650116580904,19.24130738868894
recovered,stockout_risk_group,medium,405,4831.431986119716,6.4693607347814375,1.5875623947857687,16.69659419023217
observed,activity_flag,0,375,16.63811369384478,10.539521434588229,1.5781953600580882,23.580633428247538
observed,activity_flag,1,225,15.109889221567816,9.000378855738855,0.8523304778764729,24.832629918610667
recovered,activity_flag,0,375,5218.6944956619445,7.050214155204772,1.7546579295276257,18.77151040471813
recovered,activity_flag,1,225,8.793543725734965,4.880147752797592,1.3421574396633498,14.005930519559673
