target,scope,scope_value,n,markdown_levels,pearson,spearman
recovered,product_id,250,291,38,0.37512767728745283,0.30756148806629025
observed,product_id,253,97,22,0.13601133766545925,0.20113750838462646
recovered,product_id,253,97,22,0.08434419667471389,0.274290504309787
observed,product_id,257,97,39,0.38532058666679947,0.3005548020516044
recovered,product_id,257,97,39,0.39057825501280663,0.29344238786183
observed,product_id,259,388,21,-0.039753562271706615,-0.08062867931831737
recovered,product_id,259,388,21,-0.03186280197137666,-0.12977124303033474
observed,product_id,26,97,15,-0.10662375715589856,-0.09117847682828793
recovered,product_id,26,97,15,-0.09100329496770684,-0.08443913880235501
observed,product_id,290,194,19,-0.1577138414498341,0.08089309235865028
recovered,product_id,290,194,19,-0.16525100071981752,0.05665816326015632
observed,product_id,291,388,13,-0.07682127113846152,-0.028768562418024675
recovered,product_id,291,388,13,-0.11880294467966449,-0.06750094749517574
observed,product_id,292,97,8,0.5551398325972096,0.5682552587027403
recovered,product_id,292,97,8,0.5238468752911951,0.5612579360947312
observed,product_id,296,291,65,0.09390148815071545,0.14130618188931865
recovered,product_id,296,291,65,0.0860642995758031,0.13116754048939325
observed,product_id,300,388,56,-0.0028273655272252262,0.15727415479649626
recovered,product_id,300,388,56,0.01019623333761741,0.1517909826331821
observed,product_id,310,97,12,-0.10934146414238802,0.0940566118794343
recovered,product_id,310,97,12,-0.07363128462018288,0.010336228576229074
observed,product_id,316,194,44,0.021441722354584553,0.034742906798748766
recovered,product_id,316,194,44,-0.004743726986160774,-0.013021178129091475
observed,product_id,317,194,33,0.0024472631348679903,0.040211547080114575
recovered,product_id,317,194,33,0.06855999772779559,0.13543614287771497
observed,product_id,320,194,54,0.4237798490100661,0.38137389277182915
recovered,product_id,320,194,54,0.38814448079731956,0.3227237059058101
observed,product_id,321,97,27,0.4412153944021998,0.4332874895971052
recovered,product_id,321,97,27,0.400664917491913,0.3931029699920466
observed,product_id,335,194,29,0.6180143418680863,0.6031101848582844
recovered,product_id,335,194,29,0.7188256732832459,0.6758237211092905
observed,product_id,345,291,8,0.4562972484440736,0.46683812249982826
recovered,product_id,345,291,8,0.417877903036007,0.43237775424688246
observed,product_id,351,194,32,0.17069489313101907,0.18451449163768152
recovered,product_id,351,194,32,0.12960307875399127,0.09870014028517853
observed,product_id,363,194,37,0.2673268470427357,0.2519277504115663
recovered,product_id,363,194,37,0.33251533043130804,0.34723847617724457
observed,product_id,37,97,41,0.616444106754551,0.6071930386435616
recovered,product_id,37,97,41,0.6379142442907363,0.6461029628501299
observed,product_id,370,97,7,0.0949539429304377,0.037706784769827396
recovered,product_id,370,97,7,0.06168561606255394,-0.02284946263147926
observed,product_id,381,291,26,0.15355139178535854,0.2355791165375405
recovered,product_id,381,291,26,0.07552961118148778,0.14904492103498165
observed,product_id,386,194,43,-0.04035108409476192,0.11244091294023117
recovered,product_id,386,194,43,-0.10414231851426255,0.05441461484395295
observed,product_id,387,194,31,0.46092151385931357,0.4356903016808858
recovered,product_id,387,194,31,0.40210367712487066,0.39674120838273896
observed,product_id,396,97,3,-0.022619177912521805,0.0414278543510995
recovered,product_id,396,97,3,-0.08688701426628152,-0.012237372111175867
observed,product_id,4,388,159,0.2908820259611339,0.3243658293487119
recovered,product_id,4,388,159,0.3235622546110886,0.36284434838518875
observed,product_id,403,97,18,0.05573627990300299,0.05625959971133738
recovered,product_id,403,97,18,-0.18374573920905918,-0.1411654437114609
observed,product_id,404,97,6,0.04172269070962659,0.005573598574742145
recovered,product_id,404,97,6,0.05375334153936067,0.07319295462927322
observed,product_id,41,194,25,0.19211725183530687,0.19045322067973983
recovered,product_id,41,194,25,0.062174533548060004,0.07647885585112647
observed,product_id,411,97,40,0.3562696613864365,0.26255617262979214
recovered,product_id,411,97,40,0.2573542477155858,0.2509884345550433
observed,product_id,416,97,4,-0.01853010641303968,0.043523666910883024
recovered,product_id,416,97,4,-0.01645367717316314,-0.012650073848626165
observed,product_id,422,97,47,0.7761441624384828,0.30561594731728364
recovered,product_id,422,97,47,0.7090277636370995,0.15754678704024194
observed,product_id,425,97,17,0.6381424915214026,0.5490343497489508
recovered,product_id,425,97,17,0.5418820205593339,0.43776001836366324
observed,product_id,426,194,62,0.40209533993874447,0.18943390892380188
recovered,product_id,426,194,62,0.41134512797116185,0.16482385983810538
observed,product_id,429,97,40,0.24803399827045658,0.21174600696078316
recovered,product_id,429,97,40,0.2633033848492321,0.2573638902381804
observed,product_id,441,97,45,0.5226298498820589,0.45020795338170183
recovered,product_id,441,97,45,0.4578170925941076,0.4034962048026671
observed,product_id,452,97,31,0.3391222257696874,0.25278667690491136
recovered,product_id,452,97,31,0.3884898024213861,0.3556518833427553
observed,product_id,467,97,31,0.5405635622674909,0.574926623570979
recovered,product_id,467,97,31,0.5315644098787617,0.5483953495096738
observed,product_id,470,97,4,0.13441294779221685,0.13951338374566727
recovered,product_id,470,97,4,0.0544658085589484,0.06526866792050481
observed,product_id,473,194,46,0.11646962324431619,0.2440237086839616
recovered,product_id,473,194,46,0.10642775415960903,0.2330136153096141
observed,product_id,476,291,85,0.3870856062211231,0.42078691964121195
recovered,product_id,476,291,85,0.3087457278920459,0.36485986783119695
observed,product_id,481,97,4,-0.03516824765401287,0.004286142871111033
recovered,product_id,481,97,4,-0.05564147603459498,-0.10175858085967904
observed,product_id,486,194,45,0.3890503734070443,0.3830353660172995
recovered,product_id,486,194,45,0.4279337426842164,0.4292307077020741
observed,product_id,489,194,26,0.21683278782879184,0.24821439108068402
recovered,product_id,489,194,26,0.31333688413108873,0.39971883135758274
observed,product_id,50,97,9,-0.21126935010957748,-0.12059985184588443
recovered,product_id,50,97,9,-0.3980171577693036,-0.24461826085919902
observed,product_id,500,291,17,0.2934012102056517,0.23856000032198982
recovered,product_id,500,291,17,0.24786022306778488,0.1604251327521667
observed,product_id,507,97,20,-0.16386390007324897,0.007940878094871557
recovered,product_id,507,97,20,-0.08664584793943966,0.07940986384019531
observed,product_id,515,388,84,0.17252616069166476,0.1875898644824996
recovered,product_id,515,388,84,0.1916635816421347,0.22763602897035332
observed,product_id,521,194,22,0.38837810825576524,0.36332956712602826
recovered,product_id,521,194,22,0.29379120013596877,0.2625751472058598
observed,product_id,522,97,17,0.11012187690953636,0.14863241063778346
recovered,product_id,522,97,17,0.14104530926892148,0.15824987406386262
observed,product_id,531,97,14,0.25877384498426187,0.3273025640808329
recovered,product_id,531,97,14,0.021153473744956856,0.0339318960772101
observed,product_id,535,97,4,0.14248638013282897,0.033792155878142154
recovered,product_id,535,97,4,0.06844399610681118,0.03335008453208319
observed,product_id,54,97,5,0.012724149276020101,0.03967280584160669
recovered,product_id,54,97,5,0.09851505086834092,0.10953154669201898
observed,product_id,540,97,36,0.12322275488481846,0.03186576669519181
recovered,product_id,540,97,36,0.11067909759626424,0.004576118416309393
observed,product_id,547,97,14,0.08258254419389931,0.2941200755024079
recovered,product_id,547,97,14,-0.08013296034933402,0.1556517423148186
observed,product_id,548,194,46,0.1529625608154627,0.3283676519491532
recovered,product_id,548,194,46,0.13747949492273917,0.25311557507203464
observed,product_id,549,97,4,0.23335147471443815,0.18695175264570865
recovered,product_id,549,97,4,0.2703196270534581,0.3178903114518768
observed,product_id,554,291,66,0.25275999025219786,0.22748142327833684
recovered,product_id,554,291,66,0.1956930489458659,0.17937428382392526
observed,product_id,569,194,46,0.28226891220251404,0.17337035959582228
recovered,product_id,569,194,46,0.3310395877212919,0.17375577741627551
observed,product_id,578,194,45,-0.09030110636427165,-0.1955221130353864
recovered,product_id,578,194,45,-0.11553069057641632,-0.18685534626094677
observed,product_id,580,291,90,0.279899071689142,0.27009382036978075
recovered,product_id,580,291,90,0.2542924737109399,0.2314208842444981
observed,product_id,591,97,4,-0.0549017676697266,0.003047074945413149
recovered,product_id,591,97,4,-0.04949241159687495,-0.10038092444486521
observed,product_id,596,485,83,0.6387983916082931,0.6087416616838178
recovered,product_id,596,485,83,0.6096841312098864,0.5530185103620477
observed,product_id,6,388,69,0.17552464235531326,0.2963725738163272
recovered,product_id,6,388,69,0.15244831461883113,0.2913022369009605
observed,product_id,600,194,35,0.2688562177628056,0.27328260853362907
recovered,product_id,600,194,35,0.24237654450852242,0.23089892058498693
observed,product_id,608,97,19,0.6444760081009332,0.5172812096914055
recovered,product_id,608,97,19,0.6872730547979289,0.5426497951222667
observed,product_id,620,97,17,0.24653737106108936,0.46056376482502
recovered,product_id,620,97,17,0.2002890201795645,0.4046290625419512
observed,product_id,627,97,10,0.6416851627822397,0.65833992293248
recovered,product_id,627,97,10,0.38473805675661044,0.3782952126437521
observed,product_id,631,194,33,0.07716428315300683,0.22277916000431966
recovered,product_id,631,194,33,0.09115999475206853,0.15640621674016747
observed,product_id,633,97,21,0.21730531538483389,0.19798900244498321
recovered,product_id,633,97,21,0.007230175635766726,0.011563449361663026
observed,product_id,634,97,30,0.36389105934592286,0.44428558611187213
recovered,product_id,634,97,30,0.4078150343369539,0.5449251374180033
observed,product_id,635,97,36,0.5207000152960685,0.4865469405433582
recovered,product_id,635,97,36,0.4553947408536397,0.36568525193130835
observed,product_id,638,97,20,0.3284679081652742,0.23877471443084602
recovered,product_id,638,97,20,0.24328899076233293,0.22918921951020724
observed,product_id,644,485,41,0.6180996406523566,0.6592080794749928
recovered,product_id,644,485,41,0.5504646877637975,0.498776048955927
observed,product_id,645,97,8,0.8679048089584527,0.31952237189686167
recovered,product_id,645,97,8,0.8468902814354974,0.2302550241279686
observed,product_id,649,97,18,0.4300773148033274,0.4225857309021006
recovered,product_id,649,97,18,0.527646546383746,0.4135012343988734
observed,product_id,650,97,20,0.0047026826319646565,-0.008313787631814019
recovered,product_id,650,97,20,-0.0981009364179338,-0.09944298784968005
observed,product_id,666,194,25,0.06623623136440884,0.0836356914535012
recovered,product_id,666,194,25,0.005059048293548902,0.03664228011937579
observed,product_id,678,97,29,0.16758679513075575,0.17129801587801236
recovered,product_id,678,97,29,0.12251820510109977,0.21806183145574112
observed,product_id,682,97,19,-0.2500796276765339,-0.32225604814101116
recovered,product_id,682,97,19,-0.18489351472752458,-0.28409239378816603
observed,product_id,683,97,4,0.01899149210324025,-0.007460897597868624
recovered,product_id,683,97,4,-0.05190354442616614,-0.09431094936783023
observed,product_id,686,291,33,0.05205825279351587,0.0331127556438248
recovered,product_id,686,291,33,0.01282469907350241,0.0021566499316891825
observed,product_id,688,97,12,0.24001630650554825,0.3004846158253264
recovered,product_id,688,97,12,0.17921171778048242,0.24942468404456117
observed,product_id,691,194,24,0.48761989802350647,0.46974144018934505
recovered,product_id,691,194,24,0.47133887901077826,0.4532918612578403
observed,product_id,7,97,5,0.15477216674312191,0.18784806012427024
recovered,product_id,7,97,5,0.0816544631287049,0.15436691750532794
observed,product_id,71,194,15,0.07202035188255544,0.08446819310792869
recovered,product_id,71,194,15,0.11106191185165072,0.10086559291138658
observed,product_id,715,97,15,0.45564013925814945,0.2667422948980798
recovered,product_id,715,97,15,0.419795568915579,0.2934445271131039
observed,product_id,717,97,12,0.46188506728224427,0.46338446825761775
recovered,product_id,717,97,12,0.5437051168015782,0.5738849312358393
observed,product_id,719,194,8,0.058511615365199054,0.08537471873040148
recovered,product_id,719,194,8,0.028792105218963162,0.013220256056584246
observed,product_id,729,97,17,0.1367624011354056,0.1289564928846613
recovered,product_id,729,97,17,0.2569891651751529,0.27556765798976623
observed,product_id,73,97,14,0.21351619581431625,0.3957565415211416
recovered,product_id,73,97,14,0.18116834383918587,0.3139770697447301
observed,product_id,740,291,18,0.23269451833437188,0.21656102200244134
recovered,product_id,740,291,18,0.2213408481290269,0.2068746625834637
observed,product_id,749,97,4,0.05050452791881014,0.08503716222840312
recovered,product_id,749,97,4,-0.005521722242195796,0.036466667381161326
observed,product_id,756,97,15,-0.26032022767718427,0.3594742529561266
recovered,product_id,756,97,15,-0.27285347325076176,0.3586312359649187
observed,product_id,757,97,5,0.24060115172538918,0.18060857574280953
recovered,product_id,757,97,5,0.1922302764551022,0.16230514189904313
observed,product_id,758,97,44,0.2503023174015417,0.31895648350185085
recovered,product_id,758,97,44,0.16219876930387325,0.24379573301069804
observed,product_id,76,291,18,0.16903262620235546,0.24181131196359404
recovered,product_id,76,291,18,0.15316516311779677,0.25553129023875
observed,product_id,763,97,15,0.3861356568571876,0.372510730100903
recovered,product_id,763,97,15,0.33509577231189236,0.34858683014569436
observed,product_id,764,97,34,0.2224031011744784,0.2513149532518065
recovered,product_id,764,97,34,0.27817783315035827,0.31563022286765674
observed,product_id,765,97,28,0.24921684378922898,0.27563281364907816
recovered,product_id,765,97,28,0.04978646709891172,-0.03054829443995433
observed,product_id,768,388,45,0.6204821645478668,0.7904748686168575
recovered,product_id,768,388,45,0.6820450903479759,0.76267577920418
observed,product_id,769,388,39,0.5408719529625959,0.5369670359936535
recovered,product_id,769,388,39,0.5498849423631484,0.555146720214207
observed,product_id,772,194,34,-0.0008460840531725203,0.07753427140290824
recovered,product_id,772,194,34,-0.03823044759410479,0.026318581333944158
observed,product_id,774,97,9,0.34578237445033394,0.2204706427894267
recovered,product_id,774,97,9,0.29735660610634146,0.17191434834004893
observed,product_id,775,97,19,0.35147960317392196,0.39465303584067907
recovered,product_id,775,97,19,0.39854807918919766,0.5044768809071625
observed,product_id,783,194,61,0.2795687825929003,0.12654287154262955
recovered,product_id,783,194,61,0.10845959606348296,-0.00862590406542024
observed,product_id,79,97,16,0.34424721723530105,0.32887556042344734
recovered,product_id,79,97,16,0.37125231739293163,0.35343910980428755
observed,product_id,793,388,84,0.30719582720063004,0.3780880846255846
recovered,product_id,793,388,84,0.3277775435945882,0.4300147939031018
observed,product_id,80,97,18,-0.0008179251254495527,0.09105837987749721
recovered,product_id,80,97,18,-0.08718692687005729,0.13402855470033884
observed,product_id,802,97,55,0.5523259138668892,0.4541615354069402
recovered,product_id,802,97,55,0.37393577888985324,0.3457433292559413
observed,product_id,804,97,32,0.026181314129753018,0.1085682443781604
recovered,product_id,804,97,32,-0.008165019581030771,0.09833715541616264
observed,product_id,810,97,14,-0.1283586913174335,-0.023387215123848504
recovered,product_id,810,97,14,-0.131434000515676,0.028571052547383107
observed,product_id,825,97,18,0.3934641693445525,0.38034073572674754
recovered,product_id,825,97,18,0.21622936742928853,0.2567995012471476
observed,product_id,834,291,27,-0.016731469924845702,0.23260257298371217
recovered,product_id,834,291,27,0.02973313929555017,0.2592970069061722
observed,product_id,835,194,43,0.13970878019199043,0.24375420842752551
recovered,product_id,835,194,43,0.15467830825666465,0.24502363492648452
observed,product_id,836,194,6,0.0651410699600443,0.1397632879845113
recovered,product_id,836,194,6,0.029601623366769456,0.10080757036732246
observed,product_id,843,291,21,-0.058417282059760774,-0.04711293093814591
recovered,product_id,843,291,21,-0.07754958862197049,-0.07418774972488101
observed,product_id,853,97,9,0.06871226580468583,0.04909612771078888
recovered,product_id,853,97,9,0.1367677460859421,0.13226762393638594
observed,product_id,860,97,23,0.6507556006759142,0.7164113615762168
recovered,product_id,860,97,23,0.6945987962095629,0.41554750881844976
observed,product_id,88,97,9,0.5098278158632891,0.31159822079589583
recovered,product_id,88,97,9,0.4572723433801635,0.21174245742822612
observed,product_id,90,97,18,0.4131447801889063,0.29169851566838506
recovered,product_id,90,97,18,0.3910162247806719,0.2792997953821065
observed,product_id,92,194,23,0.09079654333338376,0.33873055731664453
recovered,product_id,92,194,23,0.13158608891808646,0.3688849428605607
observed,product_id,93,291,3,0.0026921147015796917,-0.0031733777248304936
recovered,product_id,93,291,3,0.065045696509327,0.0793022514275521
observed,product_id,99,97,19,0.3468063352881785,0.311153081540114
recovered,product_id,99,97,19,0.36766331718648626,0.37997809014961037
